gates starting on commit 3f07a6ea007dec7925c6ffb36e710025427f55bb at 2026-08-06T20:48:04Z
=== gate 1: 100 provider-worker lifecycles ===
stress: target=agents runs=100 order=declared mode=in-process pid=218021
stress: target=agent-slice runs=20 order=declared mode=in-process pid=308196
     1 ok   73.20s threads+0 fd+0 rss+33892K
     2 ok   63.38s threads+0 fd+0 rss+34384K
     3 ok   63.61s threads+0 fd+0 rss+34864K
     4 ok   64.62s threads+0 fd+0 rss+35144K
     5 ok   64.68s threads+0 fd+0 rss+35152K
     6 ok   64.39s threads+0 fd+0 rss+35384K
     7 ok   63.61s threads+0 fd+0 rss+35472K
     8 ok   63.70s threads+0 fd+0 rss+35592K
     9 ok   63.84s threads+0 fd+0 rss+35664K
    10 ok   64.27s threads+0 fd+0 rss+35752K
    11 ok   64.68s threads+0 fd+0 rss+35856K
    12 ok   63.73s threads+0 fd+0 rss+36972K
    13 ok   63.37s threads+0 fd+0 rss+37064K
    14 ok   63.84s threads+0 fd+0 rss+36120K
    15 ok   63.98s threads+0 fd+0 rss+36232K
    16 ok   63.70s threads+0 fd+0 rss+37340K
    17 ok   63.09s threads+0 fd+0 rss+37412K
    18 ok   63.34s threads+0 fd+0 rss+36516K
    19 ok   63.46s threads+0 fd+0 rss+36584K
    20 ok   63.42s threads+0 fd+0 rss+36680K
stress: 20/20 passed, longest consecutive 20
gate 3 exit: 0
gates finished at 2026-08-06T21:48:05Z
